"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"229265_at",-892.893814454573,2301.73478269162,-3.62188852250155,0.000512431211360132,0.00436807952968944,-4.05651500936602,"SKI"
"213385_at",177.923305742063,627.629823928776,3.6218327490954,0.000512526004085307,0.00436807952968944,-4.05653081118178,NA
"1558533_at",65.1734040546022,215.108192639645,3.62132335239832,0.000513392547852833,0.00437359572055919,-4.05667512912921,"KRBA2"
"212558_at",-67.3925239157356,235.305590114693,-3.62012269323497,0.000515440517971454,0.00438872745655242,-4.05701525268772,"SPRY1"
"200846_s_at",789.252093149848,5778.3404537005,3.62002417384093,0.000515608906919838,0.00438872745655242,-4.05704315902217,"PPP1CA"
"1557228_at",556.123893563194,1321.01492272241,3.61945941320894,0.000516575201947936,0.00439491608857292,-4.05720312481946,"EHBP1L1"
"229014_at",-49.0689672415432,206.302280150134,-3.61934175747711,0.000516776725051571,0.00439491608857292,-4.05723644880459,"NR2F1-AS1"
"205936_s_at",1777.95280933988,3600.3645203751,3.61917636773036,0.000517060134162993,0.00439501291469483,-4.05728329179295,"HK3"
"212048_s_at",429.542505722789,2021.8158471579,3.61907794029829,0.000517228867812705,0.00439501291469483,-4.05731116871789,"YARS1"
"205447_s_at",63.1421385364096,251.500651877049,3.61830582066762,0.000518554323567665,0.00440439900975722,-4.05752983872002,"MAP3K12"
"201725_at",-257.557066146579,2000.92079476924,-3.61750943790681,0.000519924808923002,0.00441415941436843,-4.05775535766449,"CDC123"
"213205_s_at",75.8554573663224,128.980678018724,3.61711049969761,0.000520612629023551,0.00441811815345391,-4.05786832000821,"RAD54L2"
"201241_at",365.960721641633,2185.22266450419,3.61611232301711,0.000522337399511929,0.00443086973988362,-4.05815093600905,"DDX1"
"1556900_at",59.8889842226527,120.368521028331,3.61546519594734,0.000523458481258419,0.00443708497582219,-4.05833413929262,"APCDD1L-DT"
"218315_s_at",140.796230057576,876.55303568799,3.61543256855626,0.000523515065341705,0.00443708497582219,-4.05834337578698,"CDK5RAP1"
"234974_at",-153.452589551646,691.393657825118,-3.61397958803561,0.000526040793954192,0.0044562198874001,-4.05875466124975,"GALM"
"216666_at",-26.6122108761536,70.6253836446337,-3.61387696702534,0.000526219617651669,0.0044562198874001,-4.05878370660118,"MGAM2"
"204684_at",-45.972692940776,152.918102783385,-3.61355494561468,0.000526781135399446,0.00445908157184683,-4.05887484749732,"NPTX1"
"228207_at",-48.7281916413828,100.627869995027,-3.61338242738507,0.000527082194228435,0.00445973703839528,-4.05892367334484,"LINC03027"
"217618_x_at",-97.6609434609027,409.604166585246,-3.61233784519509,0.000528908569751647,0.00447329245401065,-4.05921928636895,"HUS1"
"225147_at",87.5314919122797,285.798048999809,3.61199596496886,0.000529507626119381,0.00447496851813351,-4.0593160286564,"CYTH3"
"223311_s_at",59.3286371200656,241.682784287901,3.61196864881567,0.000529555518367101,0.00447496851813351,-4.05932375816051,"MTA3"
"235515_at",47.1126199560838,135.66535743273,3.60837030820796,0.000535900411409262,0.00452666747341589,-4.06034172430189,"SYNE4"
"46256_at",573.008174645729,4075.62979457827,3.60819491985157,0.000536211507761144,0.00452737768809505,-4.06039132942677,"SPSB3"
"224695_at",179.340639258824,1793.52055202393,3.60722457744232,0.000537935759628385,0.00453775185703817,-4.06066575134726,"CNOT11"
"230163_at",-38.4256660965812,93.2911656580561,-3.60713265982592,0.000538099365416245,0.00453775185703817,-4.06069174473339,"GFRA1"
"219673_at",-138.339033913746,671.985491119524,-3.60711949190693,0.000538122807094985,0.00453775185703817,-4.06069546846451,"MCM9"
"1559964_at",186.247661163201,467.598558072596,3.60698976563281,0.000538353799099038,0.00453778098708036,-4.06073215317688,"LOC401261"
"215689_s_at",7.44416462532861,19.9899172023752,3.60525454541384,0.000541452613916335,0.00456197274158575,-4.06122278941033,"SHBG"
