"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold","GeneSymbol"
"1570268_at",1.11288067470132,2.95180853074898,5.95467987848163,2.28029783950681e-08,1.44870188676545e-07,8.44656240840235,"TRUE","SMARCAD1-DT"
"242945_at",1.03700270487096,5.29985351864313,5.95258959358923,2.30330620175925e-08,1.46263956540287e-07,8.43676618236883,"TRUE","FAM20A"
"1562760_at",1.26736136984653,3.95857209754883,5.95192695788919,2.31064748502428e-08,1.46713100968183e-07,8.43366111538701,"TRUE","LINC01751"
"1569849_at",1.57085205822026,4.09316784973045,5.94973881829022,2.33505323501163e-08,1.4814230172228e-07,8.42340903673653,"TRUE","LOC102723831"
"241981_at",1.02639559689907,4.76988781627194,5.94668924921964,2.36948965941826e-08,1.50083233466976e-07,8.40912449019317,"TRUE","FAM20A"
"216149_at",1.18832911668834,3.95058542026581,5.94465209522059,2.39277090737095e-08,1.5138249173861e-07,8.39958454303079,"TRUE","LRRC37BP1"
"1568698_at",1.02073182441596,4.63221233620473,5.94408356087349,2.39930828090002e-08,1.51743412675776e-07,8.39692244194459,"TRUE","TMEM232"
"224005_at",1.78591468205384,6.77337479616167,5.94335907373204,2.40766431171385e-08,1.52236667333127e-07,8.39353031907518,"TRUE",NA
"1562491_at",1.03055077323502,2.6416396091772,5.93923783316109,2.45574380982141e-08,1.54972060020759e-07,8.37423873787196,"TRUE","LOC101928622"
"241253_at",1.00125260459942,2.96509912910417,5.93312076387026,2.52884949553497e-08,1.59181264297e-07,8.34561874648377,"TRUE",NA
"237299_at",-1.06245999134136,6.90157926263422,-5.93281494799736,2.53255986635673e-08,1.5939646678146e-07,8.34418836513006,"TRUE","NARF"
"228121_at",1.3128895208506,5.96832082662999,5.93043761018115,2.56158618475397e-08,1.61037972463405e-07,8.33307036786923,"TRUE",NA
"1553674_at",1.10545830376826,5.39988336614433,5.9288080104865,2.58167130076992e-08,1.62207398723966e-07,8.32545075871025,"TRUE","LRRIQ3"
"210853_at",1.49652342328353,3.81489165758291,5.92796757064406,2.59209021111391e-08,1.62787195374056e-07,8.32152153604118,"TRUE","SCN11A"
"222288_at",1.17373809096691,4.39691299497156,5.92742439534674,2.59884588504634e-08,1.6319271708385e-07,8.3189822535451,"TRUE",NA
"234593_at",1.15363745921826,3.49574471062995,5.92697809942992,2.60440956434166e-08,1.63504527420347e-07,8.3168959707426,"TRUE",NA
"232073_at",1.30131894849432,3.494930574508,5.92534855797637,2.62482343869959e-08,1.64653764927605e-07,8.30927917787481,"TRUE","PPFIA2"
"1566768_at",1.94370053039362,4.64639413233822,5.92434303823737,2.63749822515337e-08,1.65372953509473e-07,8.30457978177578,"TRUE",NA
"234105_at",1.19001346040418,3.25305990326032,5.92407925389095,2.6408332161803e-08,1.65544090913389e-07,8.30334703511957,"TRUE",NA
"1560119_at",1.36665028029165,6.74493070119612,5.9225102265845,2.66075591919799e-08,1.66544739418603e-07,8.29601512996935,"TRUE","LINC00937"
"206591_at",1.15016668630797,6.25991157687373,5.91996959897198,2.6933287422897e-08,1.68429313719192e-07,8.28414539484675,"TRUE","RAG1"
"1570098_at",1.10512681466337,3.39680086299296,5.91826750860437,2.71536945436676e-08,1.69729993046191e-07,8.27619491308592,"TRUE",NA
"1555719_a_at",1.40560174943929,4.55491541658689,5.91616724006141,2.74281034874412e-08,1.71249464220149e-07,8.26638634361847,"TRUE","CFAP91"
"203939_at",-1.02116307171802,7.15885476288018,-5.91416878472863,2.76917361107803e-08,1.72796812583532e-07,8.25705511119012,"TRUE","NT5E"
"233716_at",1.0846942778488,4.43876097192118,5.91376567399725,2.77452143633597e-08,1.73091008137459e-07,8.25517311674653,"TRUE",NA
"214825_at",1.0373794957263,5.08361148015968,5.91193898214764,2.79888234943764e-08,1.74451541786939e-07,8.24664580229227,"TRUE","NALF1"
"235401_s_at",-1.36841062690863,5.11449468751878,-5.90908376941174,2.83738076968879e-08,1.76649730793366e-07,8.23332020348895,"TRUE","FCRLA"
"224422_x_at",1.20299954709237,4.09213492187969,5.9056629663185,2.8841900577547e-08,1.79294763515172e-07,8.21735980002592,"TRUE","PMCHL2"
"234561_at",1.08002392397413,5.31887830241013,5.90540079393147,2.88780865371894e-08,1.79462307504072e-07,8.21613680431474,"TRUE","SLC2A13"
"1552785_at",-1.06941376911702,5.09241223452256,-5.90102601440358,2.94885249113247e-08,1.828609617247e-07,8.19573370660476,"TRUE","ZNF781"
"1568872_at",1.04224799372245,2.92818022035912,5.89627111761281,3.01663663823266e-08,1.86635675099129e-07,8.17356768462225,"TRUE","CRPPA-AS1"
"1556889_s_at",-1.46034461479269,5.24658596760406,-5.89092406906325,3.09468954698913e-08,1.91080915845997e-07,8.1486535069373,"TRUE",NA
"222372_at",1.28596030257567,3.87582907378526,5.88955702335137,3.11496081601952e-08,1.92224021011137e-07,8.14228594945751,"TRUE","MAGI1"
"1554866_at",1.311478601847,3.94294090976732,5.88174602472137,3.23330988642169e-08,1.98943526941375e-07,8.10591947951307,"TRUE","TMEM135"
"1560775_at",1.16423543269666,5.50924247331705,5.87956435686738,3.26714646387228e-08,2.00754363803346e-07,8.09576704215215,"TRUE",NA
"224209_s_at",1.51292184226011,3.9381054632937,5.87868590392635,3.28086872032278e-08,2.01506961675633e-07,8.09167975730272,"TRUE","GDA"
"236856_x_at",1.07811296872532,7.67751305611688,5.87381296912785,3.35802155328945e-08,2.05783264319772e-07,8.0690132713217,"TRUE",NA
"1561417_x_at",2.18597815958622,4.0228886120521,5.87131738383634,3.39822037773123e-08,2.0796697912744e-07,8.05740925030003,"TRUE",NA
"224526_at",-1.11168534608448,5.41276256756335,-5.86868371445896,3.44115545041405e-08,2.10288559574593e-07,8.04516625814459,"TRUE",NA
"1570205_at",1.61543008721006,3.42541319699896,5.8644705247001,3.51094949827174e-08,2.14179905567797e-07,8.02558725212025,"TRUE",NA
"1560865_a_at",1.47121118977604,4.41455121398232,5.86242839008526,3.54527651074123e-08,2.1604769641638e-07,8.0161002321657,"TRUE",NA
"1561881_at",1.36033557524117,3.9463771759102,5.86111498505261,3.56752777206828e-08,2.17137460690007e-07,8.00999963872767,"TRUE","LINC01592"
"233598_at",1.26932500295197,4.00372408614965,5.85783223431408,3.62374387132194e-08,2.20240324771595e-07,7.99475516057545,"TRUE","LINC02871"
"242959_at",1.38583393740497,4.55860914855971,5.85174348355402,3.73032157074244e-08,2.2614445316081e-07,7.96649326846125,"TRUE",NA
"1554524_a_at",1.99789059321309,3.53105988613511,5.84895342318779,3.78018036994346e-08,2.28984446849833e-07,7.95354846901865,"TRUE","OLFM3"
"1567009_at",1.22200251777039,4.10054317666881,5.84800434475259,3.79728907857521e-08,2.29969849768608e-07,7.94914593045177,"TRUE",NA
"243810_at",-1.05108797000138,6.43459258175264,-5.8474778071218,3.80681352232195e-08,2.30495602805042e-07,7.94670363258825,"TRUE",NA
